Boss,Subordinate,Immediate?
701,1279,1
40164,28809,0
40164,3496,0
76045,40196,1
40164,33924,1
113114,1756,0
76045,1349,0
270,75343,0
19235,2502,0
76063,5492,0
113114,79163,0
19235,71482,1
27104,360,0
2273,3764,0
755,27071,1
36162,34152,1
20805,6666,0
304,36292,0
701,14004,1
40164,52772,0
20805,35922,0
46153,732,1
20805,26931,0
2273,26856,0
28331,80801,0
76045,28436,0
40164,4897,0
40164,75343,0
40164,2589,0
76045,119777,0
40164,1353,0
35981,75085,0
755,1761,0
20805,12435,0
27104,1233,1
40164,77143,0
20805,18458,0
18590,6800,0
40164,9347,1
113114,1040,0
76045,64066,0
20805,40915,0
1125,4866,0
701,65477,0
76045,26989,0
76045,93942,0
49468,27889,0
113114,100141,0
20805,107148,0
27104,2808,0
896,52850,0
896,2796,0
48944,72545,0
1055,79515,0
113114,12613,0
35981,5063,0
2273,541,1
896,112675,0
270,20406,1
35981,80801,1
40164,2532,0
2273,6428,1
304,2975,0
76045,100451,0
113114,76288,0
2551,14423,1
4671,11350,0
471,5978,0
905,2399,0
2273,65290,0
19235,55131,0
1999,1498,1
1055,742,0
76045,14423,0
18327,1277,1
20805,69677,0
2273,33924,1
35981,35814,0
2273,41381,1
20805,66165,1
18477,81151,0
4671,9440,0
896,66172,0
40164,3626,0
18327,40254,1
40164,2310,1
1503,43826,0
40164,17896,1
896,117805,0
896,91916,0
35981,119430,0
2273,30789,0
40164,3615,0
113114,1320,0
27104,10450,0
2273,2959,0
27104,81093,0
14758,101080,0
701,59673,0
40164,3231,0
40164,52065,0
40164,106730,0
755,1681,0
113114,30779,0
27104,29146,0
20805,98889,0
4671,70330,0
76045,5946,0
40164,29519,0
76045,19731,0
113114,36162,0
40164,76045,1
2273,3461,0
701,114361,0
30174,35879,0
76045,5355,0
113114,21626,0
2273,3574,1
304,1374,0
19235,106730,0
18590,18370,1
20805,30637,0
20805,71160,0
2243,4667,1
18327,500,0
113114,1534,0
27104,389,0
76063,64834,0
40164,1208,0
46153,108805,0
20805,64514,0
76045,309,0
701,112487,0
20805,3237,0
701,44083,0
20805,2001,0
48944,115016,0
40164,38938,0
755,114402,0
304,101856,1
14758,44728,0
4827,36134,0
20805,35894,0
40164,57899,0
19235,1208,0
27104,93680,0
3740,3620,1
3209,18478,0
46153,81524,1
76045,2499,0
19235,2340,1
113114,2589,0
35981,44677,0
896,6055,0
755,19928,0
54371,74697,0
76045,98408,0
827,2980,1
113114,30637,0
76045,21930,0
20805,33924,0
40164,115014,0
20805,23563,1
701,40254,1
4682,5389,1
76045,2213,0
3209,40266,0
2587,1578,0
40164,579,0
4671,11412,0
62410,765,0
4671,1055,1
76045,43713,0
40164,26931,0
35981,19697,0
40164,9605,1
20805,73351,0
27104,5906,0
76045,35814,0
27104,80043,0
14758,3330,0
18327,76585,0
20805,2587,0
40164,2165,0
27104,3230,0
755,19220,0
76045,1344,1
102777,7262,0
19235,14758,1
13904,95487,1
27104,26924,0
76045,1233,1
18466,1677,0
896,2437,0
35981,5470,0
35981,18612,0
2273,12617,0
35981,3082,0
20805,2877,0
113114,52249,0
20805,617,0
56700,2564,0
18466,1788,0
1994,177,0
3209,2511,0
40164,54116,0
35981,12661,0
2273,8754,0
40164,2362,0
2273,2761,0
1055,40153,0
701,106180,0
40164,14292,1
27104,11370,0
755,85564,0
755,27421,0
701,64276,1
40164,63697,0
20805,3764,1
40164,1560,0
20805,796,0
896,3773,0
49468,5906,0
1635,1004,1
20805,3653,0
11317,2107,0
49468,27421,0
20805,2417,0
805,2983,1
4671,12268,0
35981,36999,0
35981,104307,0
40164,12851,0
18422,1788,1
18477,3764,0
35981,3679,0
471,1848,0
755,77118,0
41766,3726,0
102777,51594,1
896,66689,0
40164,56551,0
40164,37541,0
76045,19385,0
755,51217,0
896,6471,0
4682,1807,1
35981,1436,0
20805,24090,0
40164,47747,1
755,2615,1
2273,62410,0
40164,36073,0
76045,3764,0
46153,101080,0
40164,3424,1
5063,20635,1
755,28338,0
19235,40537,1
896,111573,0
20805,72241,0
113114,28924,0
40164,29136,0
113114,3039,0
20805,3225,0
755,492,0
27104,1125,0
27104,5379,0
27104,14152,0
12008,2906,0
13904,18458,1
76045,104258,0
75322,70330,0
18477,58842,0
46153,38633,1
1786,30185,0
14004,114361,0
40164,75502,0
104632,120142,0
76045,1281,0
20805,3515,0
56700,48314,1
755,3594,1
20805,34007,0
40164,1281,0
18472,60078,0
40164,6428,0
701,2824,0
46153,55348,0
20805,27889,0
40164,2980,0
27104,1005,0
35981,103367,0
755,4780,0
896,16611,0
755,1044,0
4671,112831,0
58777,8252,1
896,104097,0
896,20026,0
3209,11412,0
896,1016,0
11317,29533,0
113114,43593,0
27104,2738,0
40164,2202,1
896,1488,0
35981,5090,0
40164,76063,0
76045,27104,1
40164,29542,0
40164,69949,0
20805,40302,1
20805,3071,0
113114,321,0
27104,2958,0
40164,121038,0
49468,14152,0
3209,90544,1
40164,3724,0
4671,20208,0
19235,5117,0
27104,21660,0
49468,40870,0
102777,105707,1
2273,114746,0
40164,43826,1
27104,101784,0
113114,99,0
76045,15344,0
20805,15737,0
76045,12285,0
56700,1984,0
40164,12629,1
20805,2210,0
896,64323,0
827,35744,1
40196,47932,0
4827,73351,0
20805,102663,0
2273,1454,0
7319,27095,1
76045,28816,0
4671,95931,0
27104,1454,0
76045,3092,0
19235,69521,0
701,59856,0
113114,53860,0
113114,3608,0
76045,4780,0
43716,75228,1
18327,20874,1
40164,360,0
4682,6605,1
40164,63556,1
3209,3392,0
896,107148,0
40164,35927,0
27104,93599,0
76045,43593,0
35981,1246,0
27104,12661,0
113114,70610,0
27104,89761,0
25104,5542,0
20805,76805,0
4671,96306,0
701,1215,0
27104,18989,1
27104,79495,0
49468,5140,0
27104,30789,0
755,112675,0
35981,6120,0
2273,3039,0
579,47034,0
15260,71160,1
1786,55055,1
20805,1342,0
76045,492,0
40164,77007,0
113114,26935,0
113114,1384,0
76045,72284,0
76045,76020,0
40164,11358,0
113114,118617,0
76045,94774,0
3209,3215,0
76045,28655,0
19235,76020,1
18472,9002,1
40164,94555,0
701,12268,0
4780,54116,0
1055,1848,0
701,1891,0
40164,40565,0
27104,104094,0
76045,95,0
40164,111168,0
3461,713,0
896,40539,0
20805,3487,1
701,264,0
20805,1227,0
27104,2414,0
755,2362,1
19235,765,0
1124,24090,0
40164,111575,0
2273,2499,0
4780,71891,0
27104,905,0
76045,9440,0
27104,1044,0
113114,2551,0
58842,72241,0
270,79495,0
2273,12049,0
27104,5995,0
67858,89761,1
2243,3344,1
1124,76534,0
49468,1349,0
20805,74697,0
27104,2619,0
27104,19037,0
755,81031,0
76045,3023,0
701,51594,0
20805,3027,0
755,52172,0
76045,88829,0
76045,1160,0
19235,1565,1
20805,6428,0
4780,732,1
3740,1299,0
40164,36512,0
27104,1761,0
19235,55055,0
20805,2916,0
20805,304,1
20805,8427,0
48944,7262,0
27104,40716,0
2273,71482,1
76063,37541,0
35981,35922,0
304,29146,0
755,111239,0
35981,830,0
40164,95,0
113114,31379,0
113114,95151,0
20805,13449,0
40164,12617,0
40164,16611,0
2273,91916,0
2273,35885,0
896,9298,0
20805,6095,0
755,85748,0
20805,835,0
49468,41381,0
40164,72284,0
35981,54083,0
579,51460,0
113114,27421,0
40164,3300,1
27104,100141,0
35981,3461,0
2273,28338,0
4827,199,0
20805,212,0
2273,3027,0
27104,4708,1
113114,4871,0
76045,12850,0
701,5147,0
40164,52590,0
40164,11838,0
755,98408,0
20805,2377,0
4827,108417,0
76296,12567,1
579,12687,0
2273,47034,0
27104,5075,0
20805,52292,0
27104,43593,0
2273,99,0
113114,1578,0
896,3459,0
4671,2368,0
1756,3027,1
20805,70659,1
755,1650,1
2437,65712,1
5063,838,1
1055,389,0
56700,76585,0
19385,36061,0
4671,13726,0
18327,42489,1
3740,30086,0
2273,11220,0
18327,11460,1
12620,61026,0
49468,5406,0
35981,2286,0
1055,35923,0
20805,114361,0
2587,40160,1
40164,89452,0
18477,12467,0
40164,4898,0
76045,95487,0
20805,3554,0
20805,1822,0
755,43826,1
76045,31383,1
46153,104097,0
