UID,FirstName,AmbiguityScore,Gender,EmployeeType
1,#99,NotFound,I,NonCore
2,Eba,NotFound,I,NonEnron
3,Eba,NotFound,I,NonEnron
4,Eba,NotFound,I,NonEnron
5,Eba,NotFound,I,NonEnron
6,Facs,NotFound,I,NonEnron
7,Field,0,M,NonCore
8,None,NotFound,I,NonEnron
9,None,NotFound,I,NonEnron
10,None,NotFound,I,NonEnron
11,Icehelpdesk,NotFound,I,NonEnron
12,Internal,NotFound,I,NonEnron
13,Chris,31.83223711,M,NonCore
14,Damon,1.507819623,M,NonEnron
15,Dave,0.333428211,M,NonEnron
16,Davis,4.085135599,M,NonEnron
17,None,NotFound,I,NonEnron
18,None,NotFound,I,NonEnron
19,None,NotFound,I,NonCore
20,None,NotFound,I,NonCore
21,Sandhya,0,F,NonEnron
22,None,NotFound,I,NonCore
23,None,NotFound,I,NonCore
24,None,NotFound,I,NonCore
25,None,NotFound,I,NonCore
26,None,NotFound,I,NonCore
27,None,NotFound,I,NonCore
28,None,NotFound,I,NonEnron
29,Matthew,0.730933363,M,NonCore
30,Matthew,0.730933363,M,NonCore
31,None,NotFound,I,NonEnron
32,None,NotFound,I,NonCore
33,None,NotFound,I,NonEnron
34,Lake,3.322259136,M,NonEnron
35,Future,0,F,NonEnron
37,Nextcard,NotFound,I,NonEnron
38,Delivere,NotFound,I,NonEnron
39,Shift,NotFound,I,NonEnron
40,Olng,NotFound,I,NonEnron
41,Central,0,M,NonEnron
42,None,NotFound,I,NonEnron
43,Marco,1.689245693,M,NonEnron
44,None,NotFound,I,NonEnron
45,None,NotFound,I,NonEnron
46,None,NotFound,I,NonCore
47,None,NotFound,I,NonEnron
48,None,NotFound,I,NonEnron
49,None,NotFound,I,NonEnron
50,None,NotFound,I,NonEnron
51,None,NotFound,I,NonEnron
52,None,NotFound,I,NonEnron
53,05.01.01,NotFound,I,NonCore
54,None,NotFound,I,NonEnron
55,None,NotFound,I,NonEnron
56,Vusersnov,NotFound,I,NonCore
57,None,NotFound,I,NonEnron
58,Sherman,1.320306311,M,NonEnron
59,None,NotFound,I,NonEnron
60,None,NotFound,I,NonEnron
61,None,NotFound,I,NonEnron
62,None,NotFound,I,NonEnron
63,None,NotFound,I,NonEnron
64,Erin,10.22087237,F,NonEnron
65,,NotFound,I,NonEnron
66,None,NotFound,I,NonEnron
67,Garrett,0.728913572,M,NonCore
68,Microsoft,NotFound,I,NonEnron
69,Microsoft,NotFound,I,NonEnron
70,Microsoft,NotFound,I,NonEnron
71,Multex,NotFound,I,NonEnron
72,The,NotFound,I,NonEnron
74,The,NotFound,I,NonEnron
93,Com,NotFound,I,NonEnron
94,Mark,0.559861654,M,NonCore
95,Kathleen,0.475639316,F,NonCore
96,Barbara,0.578192444,F,NonCore
97,Phil,0.474419797,M,NonEnron
98,Kevin,0.957393257,M,NonCore
99,Posey,6.896551724,M,NonCore
100,Humphrey,0,M,NonCore
101,None,NotFound,I,NonEnron
102,Louis,1.280670697,M,NonEnron
103,None,NotFound,I,NonEnron
104,None,NotFound,I,NonEnron
105,None,NotFound,I,NonEnron
106,,NotFound,I,NonEnron
107,Susan,0.439794775,F,NonCore
108,Energy,NotFound,I,NonEnron
111,Red,0,M,NonEnron
113,None,NotFound,I,NonEnron
114,Ron,0.373964344,M,NonEnron
119,Petroleum,NotFound,I,NonEnron
120,None,NotFound,I,NonEnron
121,None,NotFound,I,NonEnron
122,Walt,0,M,NonEnron
123,None,NotFound,I,NonEnron
124,None,NotFound,I,NonEnron
125,None,NotFound,I,NonEnron
126,Morrie,0,M,NonEnron
127,Ricardo,1.445485236,M,NonCore
128,Laura,0.595825911,F,NonEnron
129,Cary,32.32633705,M,NonCore
130,Greg,0.378120202,M,NonCore
131,George,1.322297324,M,NonCore
132,Karen,0.480579758,F,NonCore
133,None,NotFound,I,NonEnron
134,1042,NotFound,I,NonCore
135,None,NotFound,I,NonEnron
136,Johnny,2.139598581,M,NonCore
137,Ray,3.143279769,M,NonEnron
138,None,NotFound,I,NonEnron
139,None,NotFound,I,NonCore
140,Kristina,0.535895331,F,NonCore
141,Ross,0.745891986,M,NonCore
142,Margaux,0,F,NonCore
143,Thomas,0.641458914,M,NonCore
144,Darrell,1.475360009,M,NonCore
145,None,NotFound,I,NonCore
146,Syed,0,M,NonCore
147,William,0.714478673,M,NonCore
148,Heath,1.490259449,M,NonCore
149,Dom,0,M,NonCore
150,Alexis,47.90135554,F,NonCore
151,Annemarie,0,F,NonCore
152,None,NotFound,I,NonEnron
153,Kevin,0.957393257,M,NonCore
154,Robert,0.735430845,M,NonCore
155,Fitzpatrick,0,M,NonCore
156,Brad,0.478775999,M,NonCore
157,Greg,0.378120202,M,NonCore
158,Steve,0.672243959,M,NonCore
159,Carmella,0,F,NonCore
160,Cris,68.95380435,M,NonCore
161,Tina,0.598787455,F,NonCore
162,None,NotFound,I,NonEnron
163,Jerry,4.979691139,M,NonEnron
164,None,NotFound,I,NonEnron
165,None,NotFound,I,NonCore
166,Jerry,4.979691139,M,NonEnron
167,None,NotFound,I,NonEnron
168,Garrett,0.728913572,M,NonCore
169,,NotFound,I,NonEnron
170,1103,NotFound,I,NonCore
171,None,NotFound,I,NonEnron
172,Stephen,0.571884443,M,NonCore
173,Evan,4.675007629,M,NonCore
174,Bob,0.599400599,M,NonCore
175,,NotFound,I,NonEnron
176,Winston,0.836745594,M,NonCore
177,Kreg,0,M,NonCore
178,Team,NotFound,I,NonCore
179,Brett,3.165230526,M,NonCore
180,Stephanie,0.624341947,F,NonCore
181,None,NotFound,I,NonCore
182,Mike,0.652273932,M,NonCore
183,None,NotFound,I,NonEnron
185,None,NotFound,I,NonEnron
186,None,NotFound,I,NonEnron
187,Andrew,0.866211996,M,NonCore
188,Judy,0.567988618,F,NonCore
189,None,NotFound,I,NonEnron
190,None,NotFound,I,NonEnron
191,None,NotFound,I,NonEnron
192,None,NotFound,I,NonEnron
193,None,NotFound,I,NonEnron
194,George,1.322297324,M,NonCore
195,Sandy,24.08577839,F,NonCore
196,123,NotFound,I,NonEnron
197,Bill,0.590228982,M,NonCore
198,Ward,0.123472034,M,NonEnron
199,Kal,0,M,NonCore
200,Mark,0.559861654,M,NonCore
201,Valarie,0,F,NonCore
202,Donna,0.53101592,F,NonCore
203,Laura,0.595825911,F,NonCore
204,Carolyn,0.592181925,F,NonCore
205,Michael,0.898324087,M,NonCore
206,Farouk,NotFound,I,NonCore
207,Sheila,0.546366708,F,NonCore
208,Xochitl,0,F,NonCore
209,Robert,0.735430845,M,NonCore
210,Eric,0.948240009,M,NonCore
211,Mary,0.771925228,F,NonCore
212,Robert,0,M,Core
213,Hunter,2.532467532,M,NonCore
214,Paul,0.716978514,M,NonCore
215,Jason,1.002792556,M,NonCore
216,Arfan,NotFound,I,NonCore
217,None,NotFound,I,NonEnron
218,None,NotFound,I,NonEnron
219,None,NotFound,I,NonEnron
220,None,NotFound,I,NonEnron
221,None,NotFound,I,NonEnron
222,None,NotFound,I,NonEnron
223,Tanya,0.693923481,F,NonCore
224,None,NotFound,I,NonEnron
225,None,NotFound,I,NonEnron
226,Nicole,0.880872808,F,NonCore
227,John,0.728227303,M,NonCore
228,Amy,0.520900338,F,NonCore
229,None,NotFound,I,NonEnron
230,Michael,0.898324087,M,NonCore
231,Leslie,64.71970642,F,NonCore
232,John,0.728227303,M,NonCore
233,Rachael,0.394960844,F,NonCore
234,Tom,0.62200817,M,NonCore
235,Loftus,NotFound,I,NonCore
236,Susan,0.439794775,F,NonCore
237,,NotFound,I,NonCore
238,Richard,0.642741043,M,NonCore
239,Cynthia,0,F,Core
240,Laurie,1.675667824,F,NonCore
241,Javier,1.103788244,M,NonCore
242,Vera,0.687138559,F,NonCore
243,Rebekah,0.2195019,F,NonCore
244,David,0.628882614,M,NonCore
245,Jonathan,0.868189231,M,NonCore
246,Simon,0.491087668,M,NonCore
247,Dave,0.333428211,M,NonCore
248,Valerie,0.542396691,F,NonCore
249,None,NotFound,I,NonEnron
250,None,NotFound,I,NonEnron
251,Brad,0.478775999,M,NonCore
252,None,NotFound,I,NonEnron
253,None,NotFound,I,NonEnron
254,None,NotFound,I,NonEnron
255,None,NotFound,I,NonEnron
256,Jerry,4.979691139,M,NonEnron
257,Jason,1.002792556,M,NonCore
258,Jim,0.684509435,M,NonCore
259,Bill,0.590228982,M,NonCore
260,Kim,32.33551132,F,NonCore
261,Charles,0.96630302,M,NonCore
262,Markus,0,M,NonCore
263,Marchris,NotFound,I,NonCore
264,Vera,0.687138559,F,NonCore
265,Cynthia,0.491960523,F,NonCore
266,Randal,0.2367064,M,NonCore
267,Team,NotFound,I,NonCore
268,Rebecca,0.569669299,F,NonCore
269,John,0.728227303,M,NonCore
270,Huston,0,M,Core
271,Mickey,37.03703704,M,NonCore
272,Shruti,0,F,NonCore
273,Bernadette,0.285647511,F,NonCore
274,Sharon,0.673361295,F,NonCore
275,Michael,0.898324087,M,NonCore
276,Roger,0.70065013,M,NonCore
277,Sherryl,0.250062516,F,NonCore
278,Gaurav,0,M,NonCore
279,Victoria,0.623160313,F,NonCore
280,Anshuman,NotFound,I,NonCore
281,Russell,0.812313731,M,NonCore
282,James,0.809471815,M,NonCore
283,John,0.728227303,M,NonCore
284,Bryan,0.815553354,M,NonCore
285,James,0.809471815,M,NonCore
286,None,NotFound,I,NonEnron
287,Tom,0.62200817,M,NonCore
288,None,NotFound,I,NonEnron
289,None,NotFound,I,NonEnron
290,None,NotFound,I,NonEnron
291,None,NotFound,I,NonEnron
292,None,NotFound,I,NonEnron
293,Brian,0.682515661,M,NonCore
294,The,NotFound,I,NonEnron
299,None,NotFound,I,NonEnron
300,None,NotFound,I,NonEnron
301,None,NotFound,I,NonEnron
302,None,NotFound,I,NonEnron
303,Steve,0.672243959,M,NonCore
304,Dan,0,M,Core
305,Kirk,0.5308509,M,NonCore
306,Stacie,0.939452704,F,NonCore
307,Lisa,0.54717905,F,NonCore
308,None,NotFound,I,NonEnron
309,Paul,0,M,Core
310,Chad,0.880790215,M,NonCore
311,None,NotFound,I,NonEnron
312,None,NotFound,I,NonEnron
313,David,0.628882614,M,NonCore
314,None,NotFound,I,NonEnron
315,Karen,0.480579758,F,NonCore
316,Willie,34.80161027,M,NonCore
317,Dan,0.697166675,M,NonCore
318,Susan,0.439794775,F,NonCore
319,Rod,0,M,NonCore
320,Linda,0.502233144,F,NonCore
321,Stephanie,0.624341947,F,NonCore
322,Steve,0.672243959,M,NonCore
323,Rod,0,M,NonCore
324,Rebecca,0.569669299,F,NonCore
325,Enron,NotFound,I,NonCore
326,Ann,0.587971066,F,NonCore
327,Erik,0.983675668,M,NonCore
328,Ramon,1.823022709,M,NonCore
329,Ricardo,1.445485236,M,NonCore
330,None,NotFound,I,NonEnron
331,None,NotFound,I,NonEnron
332,None,NotFound,I,NonEnron
333,None,NotFound,I,NonEnron
334,None,NotFound,I,NonEnron
335,James,0.809471815,M,NonCore
336,John,0.728227303,M,NonCore
337,None,NotFound,I,NonEnron
338,None,NotFound,I,NonEnron
339,Ryan,1.964804064,M,NonCore
340,Jennifer,0.593934154,F,NonCore
341,Eric,0.948240009,M,NonCore
342,Steve,0.672243959,M,NonCore
343,Beverly,1.526923525,F,NonCore
344,Mark,0.559861654,M,NonCore
345,Ali,52.68214572,M,NonCore
346,Paul,0.716978514,M,NonCore
347,Estalee,0,F,NonCore
348,Palice,NotFound,I,NonCore
349,Catherine,0.584095429,F,NonCore
350,Michael,0.898324087,M,NonCore
351,John,0.728227303,M,NonCore
352,Robert,0.735430845,M,NonCore
353,Beau,0.37327361,M,NonCore
354,Karen,0.480579758,F,NonCore
355,Mike,0.652273932,M,NonCore
356,Michael,0.898324087,M,NonCore
357,Scott,0.612355466,M,NonCore
358,John,0.728227303,M,NonCore
359,Tana,0.205514643,F,NonCore
360,Bob,0.599400599,M,NonCore
361,Jeff,0.418750947,M,NonCore
362,None,NotFound,I,NonEnron
